Origin,Destination,Distance,Time
9,124,860,179
9,125,1078,217
9,126,1114,192
9,127,1693,294
9,128,457,77
9,129,1227,211
9,130,1510,260
10,1,696,125
10,2,167,30
10,3,167,30
10,4,560,101
10,5,433,73
10,6,433,73
10,7,480,86
10,8,386,70
10,9,1136,204
10,11,0,0
10,12,820,146
10,13,645,115
10,14,360,62
10,15,480,86
10,16,244,44
10,17,458,79
10,18,853,152
10,19,326,57
10,20,321,55
10,21,260,44
10,22,829,150
10,23,1020,183
10,24,902,164
10,25,411,71
10,26,951,173
10,27,147,24
10,28,225,40
10,29,295,51
10,30,529,93
10,31,920,167
10,32,416,71
10,33,311,53
10,34,471,86
10,35,950,169
10,36,1706,368
10,37,490,87
10,38,173,33
10,39,520,92
10,40,1382,241
10,41,431,79
10,42,18,3
10,43,370,67
10,44,426,77
10,45,1512,265
10,46,1512,265
10,47,185,33
10,48,376,68
10,49,90,16
10,50,374,68
10,51,321,58
10,52,273,47
10,53,857,155
10,54,2038,407
10,55,783,142
10,56,1529,269
10,57,490,89
10,58,420,77
10,59,412,75
10,60,2093,416
10,61,112,21
10,62,905,161
10,63,458,79
10,64,251,45
10,65,506,90
10,66,506,90
10,67,118,22
10,68,269,46
10,69,735,131
10,70,142,26
10,71,866,212
10,72,945,172
10,73,400,73
10,74,810,145
10,75,84,15
10,76,197,33
10,77,1525,317
10,78,1525,317
10,79,362,66
10,80,2004,401
10,81,725,128
10,82,28,5
10,83,1386,245
10,84,724,129
10,85,1093,196
10,86,808,201
10,87,725,128
10,88,1057,184
10,89,1045,188
10,90,853,152
10,91,1633,347
10,92,277,49
10,93,374,66
10,94,1306,222
10,95,270,46
10,96,230,41
10,97,388,67
10,98,313,57
10,99,339,58
10,100,1614,354
10,101,298,52
10,102,349,61
10,103,577,102
10,104,531,95
10,105,551,98
10,106,419,71
10,107,945,172
10,108,201,37
10,109,485,84
10,110,485,84
10,111,506,90
10,112,696,125
10,113,260,44
10,114,429,77
10,115,432,77
10,116,96,16
10,117,4,1
10,118,858,155
10,119,561,98
10,120,91,15
10,121,622,111
10,122,364,63
10,123,1607,281
10,124,692,151
10,125,653,117
10,126,22,4
10,127,557,98
10,128,679,122
10,129,91,15
10,130,374,64
11,1,696,125
11,2,167,30
11,3,167,30
11,4,560,101
11,5,433,73
11,6,433,73
11,7,480,86
11,8,386,70
11,9,1136,204
